                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.76665,                0.43294,                 1.0079,                0.94917,                0.92405,                0.96082,                0.64052,                   1.19,                0.64907,                 1.3841,              0.0010892,              0.0010892,              0.0010892
                     48,                  0.714,                0.41882,                 1.0065,                0.97191,                 0.8761,                0.94603,                0.63888,                 1.1702,                0.61701,                 1.3714,              0.0010694,              0.0010694,              0.0010694
                     49,                0.76894,                0.42278,                 1.0319,                0.95617,                0.89241,                0.95584,                0.64284,                 1.1341,                0.61254,                 1.3095,              0.0010496,              0.0010496,              0.0010496
                     50,                0.70894,                0.41238,                0.98464,                0.96337,                0.92405,                0.97057,                0.63118,                  1.219,                0.62138,                 1.3653,              0.0010298,              0.0010298,              0.0010298
                     51,                0.79268,                0.43028,                 1.0439,                0.97973,                0.91754,                0.96769,                0.60696,                 1.2152,                0.57362,                 1.3684,                0.00101,                0.00101,                0.00101
                     52,                0.73902,                 0.4243,                 1.0183,                0.96115,                0.90506,                0.95329,                0.59705,                 1.1474,                   0.53,                 1.3091,              0.0009902,              0.0009902,              0.0009902
                     53,                0.70158,                0.39965,                0.97525,                 0.9544,                0.89873,                0.94787,                0.61026,                 1.1451,                0.53826,                 1.3011,              0.0009704,              0.0009704,              0.0009704
                     54,                0.71781,                0.40446,                0.98151,                0.97179,                0.90506,                 0.9615,                0.62677,                 1.1757,                0.55422,                 1.3194,              0.0009506,              0.0009506,              0.0009506
                     55,                0.70769,                0.42366,                 1.0258,                0.97281,                0.90584,                0.97365,                0.62087,                 1.1973,                0.51914,                 1.3454,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.6805,                0.40816,                0.97641,                0.97224,                0.92405,                0.97261,                0.63664,                 1.1621,                0.48509,                 1.3031,               0.000911,               0.000911,               0.000911
                     57,                0.69008,                0.40049,                0.96255,                0.97309,                0.91542,                0.94676,                0.63605,                 1.1685,                0.47809,                 1.2979,              0.0008912,              0.0008912,              0.0008912
                     58,                0.67305,                0.39416,                0.97916,                0.98133,                0.91139,                0.94791,                0.62873,                 1.2029,                0.49024,                 1.3325,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64436,                0.37679,                0.95423,                0.97998,                0.92922,                0.96211,                0.63637,                 1.1769,                0.49695,                 1.3326,              0.0008516,              0.0008516,              0.0008516
                     60,                0.64644,                0.38743,                0.96684,                0.95354,                0.93038,                0.95755,                0.66304,                 1.1593,                0.48589,                 1.3237,              0.0008318,              0.0008318,              0.0008318
                     61,                0.65944,                 0.3845,                 0.9579,                0.98241,                0.90506,                0.95901,                0.66544,                 1.1615,                0.48134,                 1.3208,               0.000812,               0.000812,               0.000812
                     62,                 0.7009,                0.42055,                0.99985,                 0.9872,                0.91139,                0.95921,                0.66043,                 1.1668,                0.47529,                 1.3171,              0.0007922,              0.0007922,              0.0007922
